x,y
0.970842,0.838354
0.077568,0.437650
0.535439,0.882789
0.903074,0.323966
0.248586,0.765845
0.934263,0.603942
0.171523,0.852441
0.816485,0.402429
0.446958,0.858049
0.971814,0.388187
0.075020,0.845042
0.524613,0.421031
0.913747,0.872445
0.222538,0.351077
0.902876,0.803284
0.249067,0.521468
0.934771,0.897954
0.170245,0.283611
0.813839,0.699926
0.452642,0.728238
0.968729,0.678383
0.083098,0.762335
0.558161,0.611264
0.878763,0.845575
0.306642,0.419699
0.978679,0.871513
0.056949,0.353504
0.440621,0.806355
0.975023,0.514365
0.066587,0.899084
0.487083,0.280578
0.945996,0.694503
0.141801,0.737142
0.747857,0.661577
0.586669,0.786518
0.844742,0.559362
0.384827,0.884395
0.992236,0.319728
0.020880,0.759483
0.218119,0.617157
0.896760,0.839725
0.263837,0.434261
0.949166,0.880874
0.133704,0.329013
0.726379,0.773243
0.626971,0.588272
0.790302,0.865615
0.502172,0.368778
0.933936,0.824601
0.172346,0.471210
0.818173,0.896321
0.443318,0.287989
0.973687,0.707640
0.070101,0.715210
0.503052,0.702017
0.933195,0.724749
0.174210,0.684825
0.821963,0.752497
0.435115,0.631384
0.977612,0.824418
0.059765,0.471651
0.454620,0.896433
0.967610,0.287689
0.086022,0.707116
0.569767,0.716108
0.865377,0.700425
0.337838,0.727409
0.989869,0.679922
0.027216,0.760013
0.264827,0.616065
0.950049,0.840830
0.131442,0.431519
0.720147,0.879252
0.638345,0.333277
0.773653,0.779344
0.536069,0.575110
0.902435,0.875060
0.250136,0.344258
0.935890,0.794405
0.167425,0.541722
0.807909,0.892280
0.465296,0.298791
0.961171,0.726101
0.102776,0.682340
0.631358,0.756330
0.783946,0.623615
0.515225,0.832982
0.922515,0.450860
0.200885,0.889297
0.870548,0.306735
0.325852,0.739144
0.986531,0.657726
0.036121,0.791753
0.323873,0.547692
0.985866,0.889917
0.037890,0.305085
0.334844,0.736473
0.989144,0.662858
0.029152,0.784752
0.278257,0.563266
0.961063,0.882282
0.103056,0.325306
0.632320,0.767827
0.782540,0.599775
0.518094,0.856147
0.919884,0.393029
0.207406,0.849656
0.880917,0.409459
0.301571,0.863836
0.976072,0.373359
0.063826,0.829705
0.474183,0.458854
0.955307,0.892491
0.117933,0.298227
0.680666,0.725158
0.706971,0.684076
0.661914,0.753658
0.737421,0.629040
0.606462,0.827053
0.818909,0.465289
0.441730,0.894654
0.974480,0.292451
0.068018,0.715365
0.493644,0.701741
0.940905,0.725211
0.154746,0.683977
0.779629,0.753811
0.524012,0.628732
0.914322,0.827396
0.221124,0.464459
0.900945,0.894396
0.253742,0.293142
0.939576,0.716549
0.158113,0.699641
0.787402,0.728712
0.508145,0.677503
0.928823,0.763655
0.185171,0.608518
0.843174,0.848203
0.388341,0.413113
0.991766,0.866679
0.022141,0.366032
0.227782,0.821459
0.909827,0.478756
0.232145,0.897996
0.915362,0.283498
0.218568,0.699724
0.897391,0.728574
0.262317,0.677760
0.947789,0.763270
0.137223,0.609320
0.735873,0.847442
0.609364,0.415023
0.814973,0.868118
0.450207,0.362309
0.970074,0.817103
0.079579,0.489141
0.543819,0.899476
0.894405,0.279523
0.269493,0.692602
0.954079,0.740213
0.121095,0.655660
0.690263,0.794514
0.690845,0.541475
0.689856,0.892371
0.691536,0.298549
0.688678,0.725696
0.693533,0.683086
0.685268,0.755184
0.699284,0.625947
0.675359,0.830463
0.715732,0.457011
0.646316,0.891805
0.761658,0.300059
0.559892,0.728213
0.876808,0.678431
0.311232,0.762263
0.980843,0.611412
0.051225,0.845432
0.410985,0.420057
0.986708,0.871765
0.035650,0.352848
0.320912,0.805530
0.984811,0.516278
0.040697,0.898823
0.351796,0.281277
0.992311,0.695758
0.020680,0.735100
0.216566,0.665477
0.894552,0.781099
0.269142,0.571284
0.953784,0.877526
0.121855,0.337806
0.692538,0.785669
0.686969,0.561240
0.696420,0.883395
0.680309,0.322369
0.707564,0.763463
0.660866,0.608919
0.739080,0.847823
0.603343,0.414067
0.823097,0.867402
0.432653,0.364163
0.978710,0.819287
0.056868,0.483946
0.440212,0.898856
0.975222,0.281191
0.066064,0.695603
0.484661,0.735353
0.947816,0.664997
0.137156,0.781773
0.735693,0.569810
0.609701,0.878442
0.814515,0.335404
0.451192,0.782333
0.969534,0.568583
0.080992,0.879190
0.549628,0.333440
0.888191,0.779573
0.284340,0.574612
0.965470,0.875389
0.091601,0.343399
0.591180,0.793261
0.839011,0.544301
0.397637,0.891298
0.990109,0.301410
0.026573,0.730451
0.260287,0.674256
0.945915,0.768473
0.142008,0.598412
0.748390,0.857328
0.585648,0.390025
0.846026,0.846816
0.381941,0.416591
0.992558,0.869278
0.020018,0.359306
0.211395,0.813507
0.886986,0.497644
0.287207,0.899975
0.967425,0.278182
0.086504,0.690173
0.571655,0.744097
0.863138,0.648088
0.343001,0.804346
0.990950,0.519017
0.024324,0.898394
0.244065,0.282430
0.929366,0.697820
0.183811,0.731720
0.840640,0.671873
0.394007,0.771958
0.990827,0.591016
0.024654,0.863458
0.246482,0.374331
0.932012,0.830766
0.177181,0.456271
0.827891,0.891521
0.422190,0.300815
0.982947,0.729468
0.045649,0.676094
0.380450,0.765755
0.992701,0.604131
0.019635,0.852269
0.208370,0.402864
0.882402,0.858418
0.298066,0.387243
0.974136,0.844120
0.068922,0.423334
0.497746,0.874021
0.937602,0.346971
0.163104,0.797981
0.798573,0.533614
0.484980,0.894987
0.947578,0.291562
0.137763,0.713837
0.737308,0.704438
0.606675,0.720669
0.818622,0.692255
0.442350,0.740771
0.974172,0.654578
0.068827,0.795947
0.497320,0.538236
0.937950,0.893515
0.162227,0.295496
0.796639,0.720557
0.489021,0.692458
0.944517,0.740445
0.145570,0.655211
0.757424,0.795110
0.568180,0.540129
0.867245,0.892857
0.333516,0.297250
0.988800,0.723518
0.030071,0.687079
0.284511,0.748984
0.965589,0.638424
0.091293,0.816232
0.590021,0.491206
0.840492,0.899657
0.394336,0.279039
0.990765,0.691726
0.024818,0.741618
0.247678,0.652931
0.933297,0.798110
0.173952,0.533321
0.821443,0.895073
0.436244,0.291330
0.977097,0.713438
0.061125,0.705141
0.461250,0.719477
0.963690,0.694403
0.096235,0.737304
0.608264,0.661267
0.816470,0.786944
0.446990,0.558418
0.971797,0.884886
0.075064,0.318430
0.524805,0.757507
0.913564,0.621213
0.222988,0.835531
0.903485,0.444609
0.247589,0.886408
0.933203,0.314401
0.174190,0.751296
0.821923,0.633799
0.435203,0.821654
0.977573,0.478289
0.059869,0.897907
0.455132,0.283737
0.967316,0.700148
0.086788,0.727869
0.572764,0.679070
0.861815,0.761301
0.346044,0.613405
0.991489,0.843483
0.022881,0.424923
0.233368,0.875082
0.916873,0.344200
0.214844,0.794328
0.892070,0.541896
0.275088,0.892216
0.958625,0.298962
0.109370,0.726387
0.653502,0.681812
0.750616,0.757138
0.581371,0.621966
0.851353,0.834736
0.369919,0.446560
0.993259,0.887346
0.018139,0.311914
0.196372,0.747400
0.863038,0.641572
0.343232,0.812442
0.990994,0.500150
0.024207,0.900000
0.243210,0.278116
0.928416,0.690054
0.186188,0.744287
0.845050,0.647714
0.384134,0.804819
0.992319,0.517922
0.020659,0.898574
0.216403,0.281948
0.894319,0.696959
0.269701,0.733136
0.954253,0.669204
0.120646,0.775811
0.688916,0.582758
0.693130,0.869753
0.685957,0.358075
0.698125,0.812012
0.677366,0.501160
0.712431,0.899994
0.652226,0.278131
0.752592,0.690082
0.577558,0.744242
0.856030,0.647804
0.359288,0.804706
0.993001,0.518184
0.018830,0.898532
0.201953,0.282060
0.872285,0.697161
0.321808,0.732805
0.985138,0.669829
0.039828,0.774914
0.346605,0.584689
0.991581,0.868333
0.022636,0.361753
0.231527,0.816443
0.914592,0.490706
0.220462,0.899616
0.900032,0.279147
0.255949,0.691922
0.941764,0.741305
0.152568,0.653540
0.774496,0.797312
0.534376,0.535136
0.904148,0.894523
0.245981,0.292803
0.931470,0.715969
0.178542,0.700672
0.830562,0.726998
0.416329,0.680684
0.985016,0.758857
0.040153,0.618444
0.348556,0.838409
0.991880,0.437515
0.021836,0.882715
0.225462,0.324162
0.906792,0.766136
0.239550,0.603333
0.924251,0.852992
0.196573,0.401036
0.863378,0.856851
0.342448,0.391238
0.990844,0.847972
0.024606,0.413691
0.246133,0.867118
0.931635,0.364897
0.178128,0.820143
0.829753,0.481903
0.418107,0.898546
0.984411,0.282023
0.041759,0.697093
0.358076,0.732915
0.992919,0.669620
0.019052,0.775214
0.203732,0.584043
0.875145,0.868811
0.315130,0.360515
0.982537,0.814963
0.046736,0.494208
0.386540,0.899851
0.992018,0.278516
0.021466,0.690780
0.222634,0.743131
0.903006,0.649980
0.248752,0.801932
0.934438,0.524578
0.171083,0.897318
0.815577,0.285316
0.448911,0.702946
0.970776,0.723188
0.077741,0.687681
0.536166,0.748038
0.902335,0.640307
0.250377,0.813974
0.936141,0.496543
0.166794,0.899947
0.806563,0.278258
0.468152,0.690312
0.959336,0.743876
0.107529,0.648521
0.647432,0.803796
0.759958,0.520286
0.563227,0.898173
0.872999,0.283024
0.320142,0.698880
0.984525,0.729972
0.041459,0.675153
0.356306,0.767150
0.992778,0.601200
0.019430,0.854896
0.206743,0.396209
0.879888,0.852578
0.303996,0.402083
0.977347,0.857753
0.060465,0.388941
0.458043,0.845774
0.965618,0.419203
0.091216,0.871161
0.589730,0.354417
0.840863,0.807498
0.393509,0.511710
0.990918,0.899391
0.024409,0.279752
0.244692,0.693015
0.930059,0.739548
0.182078,0.656947
0.837370,0.792798
0.401286,0.545343
0.989298,0.890884
0.028741,0.302511
0.275439,0.732266
0.958900,0.670846
0.108659,0.773447
0.651166,0.587834
0.754229,0.865953
0.574391,0.367906
0.859864,0.823610
0.350522,0.473595
0.992151,0.896905
0.021109,0.286424
0.219884,0.704898
0.899230,0.719889
0.257885,0.693661
0.943640,0.738505
0.147801,0.658958
0.762962,0.790091
0.557325,0.551413
0.879703,0.888286
0.304432,0.309420
0.977571,0.743450
0.059874,0.649357
0.455155,0.802730
0.967303,0.522743
0.086823,0.897704
0.572900,0.284283
0.861653,0.701118
0.346417,0.726253
0.991550,0.682058
0.022718,0.756761
0.232140,0.622737
0.915356,0.833919
0.218581,0.448565
0.897409,0.888276
0.262274,0.309447
0.947750,0.743493
0.137324,0.649272
0.736141,0.802838
0.608864,0.522495
0.815655,0.897754
0.448743,0.284149
0.970866,0.700881
0.077505,0.726649
0.535171,0.681328
0.903345,0.757877
0.247930,0.620455
0.933566,0.836324
0.173277,0.442657
0.820073,0.885435
0.439213,0.316976
0.975704,0.755279
0.064797,0.625754
0.478754,0.830673
0.952114,0.456497
0.126145,0.891608
0.705135,0.300583
0.665146,0.729082
0.732274,0.676813
0.616078,0.764685
0.805726,0.606370
0.469925,0.850215
0.958173,0.408051
0.110536,0.862711
0.657305,0.376253
0.744687,0.832841
0.592724,0.451206
0.837028,0.889446
0.402045,0.306336
0.989118,0.738501
0.029222,0.658966
0.278738,0.790080
0.961424,0.551437
0.102119,0.888275
0.629089,0.309449
0.787243,0.743495
0.508472,0.649267
0.928537,0.802845
0.185884,0.522479
0.844492,0.897757
0.385388,0.284140
0.992167,0.700865
0.021066,0.726675
0.219555,0.681281
0.898773,0.757949
0.258988,0.620307
0.944692,0.836479
0.145123,0.442277
0.756304,0.885242
0.570360,0.317487
0.864675,0.756064
0.339459,0.624157
0.990231,0.832401
0.026247,0.452281
0.257972,0.889906
0.943723,0.305115
0.147589,0.736521
0.762440,0.662765
0.558353,0.784879
0.878548,0.562984
0.307149,0.882439
0.978927,0.324892
0.056294,0.767216
0.437310,0.601062
0.976603,0.855018
0.062428,0.395898
0.467529,0.852296
0.959741,0.402796
0.106482,0.858361
0.643941,0.387390
0.765260,0.844264
0.552792,0.422974
0.884738,0.873778
0.292541,0.347604
0.970858,0.798808
0.077526,0.531729
0.535262,0.895532
0.903253,0.290101
0.248152,0.711314
0.933803,0.708856
0.172681,0.713118
0.818859,0.705702
0.441837,0.718523
0.974427,0.696117
0.068157,0.734514
0.494279,0.666591
0.940400,0.779529
0.156027,0.574706
0.782610,0.875327
0.517951,0.343562
0.920016,0.793478
0.207080,0.543813
0.880411,0.891488
0.302763,0.300902
0.976705,0.729612
0.062157,0.675825
0.466231,0.766154
0.960575,0.603293
0.104320,0.853028
0.636643,0.400945
0.776180,0.856773
0.530986,0.391437
0.907536,0.848161
0.237737,0.413219
0.922133,0.866759
0.201834,0.365825
0.872092,0.821220
0.322259,0.479329
0.985300,0.898103
0.039397,0.283212
0.344012,0.699215
0.991137,0.729418
0.023823,0.676186
0.240379,0.765618
0.925208,0.604417
0.194192,0.852009
0.859309,0.403522
0.351793,0.858975
0.992311,0.385820
0.020681,0.842717
0.216572,0.426831
0.894561,0.876327
0.269120,0.340946
0.953765,0.789960
0.121902,0.551705
0.692678,0.888153
0.686730,0.309773
0.696823,0.744012
0.679614,0.648255
0.708715,0.804133
0.658831,0.519507
0.742290,0.898310
0.597277,0.282655
0.831118,0.698222
0.415107,0.731059
0.985419,0.673117
0.039080,0.770145
0.342101,0.594873
0.990777,0.860319
0.024788,0.382385
0.247454,0.839258
0.933059,0.435416
0.174553,0.881538
0.822654,0.327265
0.433616,0.770702
0.978285,0.593690
0.057989,0.861295
0.445833,0.379884
0.972401,0.836678
0.073478,0.441785
0.517954,0.884991
0.920014,0.318152
0.207086,0.757083
0.880422,0.622078
0.302738,0.834618
0.976692,0.446851
0.062191,0.887483
0.466395,0.311550
0.960470,0.746826
0.104592,0.642709
0.637567,0.811053
0.774809,0.503409
0.533747,0.899948
0.904781,0.278254
0.244443,0.690305
0.929784,0.743888
0.182765,0.648498
0.838671,0.803824
0.398392,0.520221
0.989949,0.898185
0.027002,0.282992
0.263322,0.698824
0.948702,0.730065
0.134890,0.674979
0.729605,0.767407
0.621025,0.600660
0.798785,0.855373
0.484536,0.394999
0.947908,0.851476
0.136919,0.404869
0.735061,0.860105
0.610882,0.382934
0.812899,0.839817
0.454654,0.434032
0.967590,0.880742
0.086073,0.329362
0.569967,0.773747
0.865140,0.587192
0.338386,0.866446
0.989993,0.366633
0.026882,0.822153
0.262478,0.477094
0.947936,0.897671
0.136848,0.284371
0.734873,0.701274
0.611235,0.725992
0.812416,0.682541
0.455689,0.756022
0.966995,0.624244
0.087626,0.832307
0.576021,0.452510
0.857897,0.890002
0.355026,0.304859
0.992661,0.736105
0.019742,0.663562
0.209218,0.783775
0.883700,0.565417
0.294999,0.881061
0.972351,0.328522
0.073611,0.772532
0.518532,0.589791
0.919479,0.864429
0.208409,0.371834
0.882463,0.828025
0.297923,0.462934
0.974055,0.893905
0.069136,0.294453
0.498713,0.718786
0.936810,0.695644
0.165104,0.735286
0.802932,0.665123
0.475826,0.781595
0.954173,0.570199
0.120853,0.878202
0.689536,0.336033
0.692079,0.783211
0.687753,0.566658
0.695098,0.880338
0.682584,0.330423
0.703777,0.775276
0.667527,0.583910
0.728454,0.868910
0.623150,0.360260
0.795770,0.814658
0.490831,0.494930
0.943117,0.899886
0.149132,0.278422
0.766223,0.690610
0.550884,0.743402
0.886826,0.649450
0.287586,0.802610
0.967678,0.523018
0.085843,0.897648
0.569064,0.284433
0.866206,0.701383
0.335922,0.725809
0.989413,0.682877
0.028432,0.755505
0.273308,0.625295
0.957212,0.831172
0.113019,0.455282
0.665290,0.891133
0.732043,0.301847
0.616507,0.731172
0.805128,0.672903
0.471190,0.770457
0.957333,0.594211
0.112709,0.860867
0.664301,0.380981
0.733623,0.837816
0.613567,0.438980
0.809208,0.883513
0.462534,0.322056
0.962901,0.762994
0.098286,0.609894
0.615632,0.846894
0.806347,0.416396
0.468610,0.869135
0.959038,0.359676
0.108302,0.813954
0.649990,0.496590
0.756039,0.899948
0.570876,0.278254
0.864064,0.690305
0.340867,0.743887
0.990529,0.648499
0.025451,0.803824
0.252261,0.520222
0.938079,0.898184
0.161900,0.282993
0.795916,0.698825
0.490529,0.730063
0.943352,0.674982
0.148534,0.767403
0.764762,0.600669
0.553775,0.855365
0.883654,0.395019
0.295107,0.851494
0.972415,0.404823
0.073443,0.860066
0.517800,0.383032
0.920156,0.839917
0.206734,0.433784
0.879875,0.880597
0.304027,0.329742
0.977363,0.774296
0.060423,0.586016
0.457838,0.867340
0.965739,0.364324
0.090901,0.819475
0.588544,0.483497
0.842371,0.898791
0.390139,0.281365
0.991492,0.695916
0.022874,0.734843
0.233313,0.665967
0.916806,0.780411
0.215010,0.572787
0.892311,0.876573
0.274509,0.340303
0.958169,0.789088
0.110548,0.553651
0.657343,0.887246
0.744627,0.312178
0.592838,0.747817
0.836881,0.640746
0.402370,0.813444
0.989039,0.497792
0.029431,0.899978
0.280166,0.278174
0.962484,0.690159
0.099368,0.744120
0.619470,0.648042
0.800978,0.804403
0.479937,0.518884
0.951269,0.898417
0.128314,0.282369
0.711353,0.697713
0.654149,0.731897
0.749611,0.671540
0.583303,0.772442
0.848957,0.589985
0.375338,0.864277
0.993072,0.372226
0.018641,0.828459
0.200440,0.461882
0.869819,0.893555
0.327548,0.295389
0.987074,0.720376
0.034673,0.692784
0.314720,0.739920
0.982365,0.656227
0.047192,0.793759
0.389075,0.543180
0.991657,0.891732
0.022433,0.300252
0.000000,0.000000
